Region,CountryArea,Sea-Level Rise Scenarios,ImpactedArea,PercentageofAreaimpacted,,,
Latin America / Caribbean,18806598,One meter,67188,0.357257597,,,4.034775455
Middle East / North Africa,10050556,One meter,37841,0.376506534,,,
Sub-Saharan Africa,17139289,One meter,28021,0.163489862,,,
East Asia,14140767,One meter,74431,0.526357587,,,
South Asia,4197171,One meter,13222,0.315021713,,,
Latin America / Caribbean,18806598,Two meter,104507,0.555693273,,,
Middle East / North Africa,10050556,Two meter,47424,0.471854492,,,
Sub-Saharan Africa,17139289,Two meter,37572,0.219215628,,,
East Asia,14140767,Two meter,119925,0.848079881,,,
South Asia,4197171,Two meter,23292,0.554945224,,,
Latin America / Caribbean,18806598,Three meter,152210,0.809343614,,,
Middle East / North Africa,10050556,Three meter,57656,0.573659805,,,
Sub-Saharan Africa,17139289,Three meter,52268,0.304960142,,,
East Asia,14140767,Three meter,178935,1.265383978,,,
South Asia,4197171,Three meter,37613,0.896151241,,,
Latin America / Caribbean,18806598,Four meter,197104,1.048057708,,,
Middle East / North Africa,10050556,Four meter,67913,0.675713861,,,
Sub-Saharan Africa,17139289,Four meter,69441,0.40515683,,,
East Asia,14140767,Four meter,250006,1.767980478,,,
South Asia,4197171,Four meter,54978,1.309882299,,,
Latin America / Caribbean,18806598,Five meter,237795,1.264423263,,,
Middle East / North Africa,10050556,Five meter,77783,0.773917383,,,
Sub-Saharan Africa,17139289,Five meter,87155,0.508510009,,,
East Asia,14140767,Five meter,326550,2.309280678,,,
South Asia,4197171,Five meter,73612,1.753848009,,,
